Criado como novo conjunto de dados;Amostra 007 por Administrator data sexta-feira, julho 11 2025
cm-1;%T
2608,00;65,34
2607,00;65,35
2606,00;65,37
2605,00;65,38
2604,00;65,39
2603,00;65,41
2602,00;65,41
2601,00;65,42
2600,00;65,42
2599,00;65,42
2598,00;65,43
2597,00;65,44
2596,00;65,45
2595,00;65,47
2594,00;65,48
2593,00;65,50
2592,00;65,51
2591,00;65,51
2590,00;65,52
2589,00;65,52
2588,00;65,52
2587,00;65,52
2586,00;65,53
2585,00;65,54
2584,00;65,56
2583,00;65,57
2582,00;65,58
2581,00;65,59
2580,00;65,59
2579,00;65,59
2578,00;65,59
2577,00;65,59
2576,00;65,60
2575,00;65,60
2574,00;65,61
2573,00;65,62
2572,00;65,63
2571,00;65,64
2570,00;65,64
2569,00;65,65
2568,00;65,65
2567,00;65,65
2566,00;65,65
2565,00;65,65
2564,00;65,66
2563,00;65,66
2562,00;65,67
2561,00;65,68
2560,00;65,69
2559,00;65,70
2558,00;65,70
2557,00;65,71
2556,00;65,71
2555,00;65,71
2554,00;65,71
2553,00;65,72
2552,00;65,72
2551,00;65,73
2550,00;65,73
2549,00;65,74
2548,00;65,75
2547,00;65,76
2546,00;65,76
2545,00;65,76
2544,00;65,76
2543,00;65,75
2542,00;65,75
2541,00;65,75
2540,00;65,76
2539,00;65,77
2538,00;65,78
2537,00;65,79
2536,00;65,80
2535,00;65,81
2534,00;65,81
2533,00;65,81
2532,00;65,81
2531,00;65,81
2530,00;65,82
2529,00;65,83
2528,00;65,84
2527,00;65,85
2526,00;65,86
2525,00;65,87
2524,00;65,88
2523,00;65,88
2522,00;65,88
2521,00;65,89
2520,00;65,89
2519,00;65,90
2518,00;65,90
2517,00;65,91
2516,00;65,92
2515,00;65,93
2514,00;65,93
2513,00;65,94
2512,00;65,95
2511,00;65,95
2510,00;65,96
2509,00;65,96
2508,00;65,97
2507,00;65,98
2506,00;65,99
2505,00;66,00
2504,00;66,02
2503,00;66,03
2502,00;66,04
2501,00;66,05
2500,00;66,07
2499,00;66,08
2498,00;66,09
2497,00;66,09
2496,00;66,11
2495,00;66,12
2494,00;66,13
2493,00;66,15
2492,00;66,16
2491,00;66,17
2490,00;66,18
2489,00;66,19
2488,00;66,20
2487,00;66,21
2486,00;66,21
2485,00;66,22
